フォルダ,20160212,20160308,20160418,20160510,20160516,20160527
Y:\4000_プロジェクト\4300_商用開発,0,0,0,0,0,399
Y:\1000_幹部・定例会議\1300_幹部会議・サービス開発提供会議,0,0,0,0,0,283
Y:\9000_参考資料\9110_参考資料,104,161,247,473,493,635
Y:\7000_パートナー管理\011_GE,0,0,0,0,0,86
Y:\4000_プロジェクト\4300_Step1商用開発,35,70,163,255,322,0
Y:\6000_案件管理\6200_ユーザー案件,133,138,382,550,556,621
Y:\7000_パートナー管理\★リリース準備,38,0,0,0,0,0
Y:\4000_プロジェクト\4200_IoTトライアルパック開発,1247,1288,1494,1505,1506,1543
Y:\7000_パートナー管理\☆現地法人,0,0,0,0,0,27
Y:\4000_プロジェクト\社内利用促進,0,0,0,0,0,23
